order_id,customer_id,product,category,region,quantity,sales,cost,order_date,profit,profit_margin
1,4617,Mouse,Accessories,West,3,44284,23325.97,2025-11-13,20958.03,47.32641586125914
2,2847,Keyboard,Accessories,South,5,17809,9160.54,2025-10-27,8648.46,48.56229996069403
3,2394,Laptop,Electronics,West,4,6333,4740.82,2025-07-27,1592.1800000000003,25.14100742144324
4,2217,Keyboard,Accessories,East,5,5607,3146.24,2025-11-30,2460.76,43.88728375245229
5,2183,Keyboard,Accessories,West,5,42666,36993.98,2025-11-15,5672.019999999997,13.29400459382177
6,3013,Keyboard,Accessories,South,2,37054,23370.36,2025-09-05,13683.64,36.92891455713283
7,3770,Laptop,Electronics,West,3,44486,30475.69,2025-10-12,14010.310000000001,31.49375084296183
8,3136,Printer,Office,South,2,38576,33977.74,2025-05-11,4598.260000000002,11.920002073828293
9,3335,Phone,Electronics,East,4,27565,16271.25,2025-10-08,11293.75,40.97134046798476
10,3457,Phone,Electronics,North,3,49977,43026.45,2026-01-13,6950.550000000003,13.907497448826467
11,2959,Laptop,Electronics,South,5,45934,31657.8,2025-11-17,14276.2,31.079810162406936
12,2257,Phone,Electronics,West,3,8867,7959.17,2026-01-11,907.8299999999999,10.238299312055938
13,1511,Mouse,Accessories,South,1,13557,7297.55,2026-01-01,6259.45,46.171350593789185
14,4465,Keyboard,Accessories,East,1,27969,15652.7,2025-11-01,12316.3,44.035539347134325
15,3319,Laptop,Electronics,North,2,34162,25674.56,2026-01-03,8487.439999999999,24.844681224752645
16,4431,Laptop,Electronics,South,4,35158,22490.45,2026-02-22,12667.55,36.0303487115308
17,1157,Monitor,Electronics,West,4,21866,13758.17,2026-01-15,8107.83,37.079621329918595
18,4397,Laptop,Electronics,East,4,32540,22860.89,2025-08-14,9679.11,29.745267363245237
19,2261,Phone,Electronics,North,3,10598,5850.85,2025-12-04,4747.15,44.79288545008492
20,1144,Printer,Office,South,5,2733,2361.32,2025-09-11,371.67999999999984,13.599707281375773
21,4945,Phone,Electronics,East,4,46573,29381.61,2025-11-01,17191.39,36.91278208404011
22,2633,Laptop,Electronics,West,3,9572,5024.5,2025-12-05,4547.5,47.508357709987465
23,2812,Phone,Electronics,South,2,4091,3279.29,2025-10-14,811.71,19.841359080909314
24,1180,Printer,Office,South,1,43959,30530.35,2025-12-31,13428.650000000001,30.548124388634868
25,1273,Mouse,Accessories,North,3,26002,23335.29,2025-06-28,2666.709999999999,10.255788016306434
26,4649,Laptop,Electronics,North,1,48099,39871.59,2025-11-05,8227.410000000003,17.105158111395255
27,1202,Monitor,Electronics,East,4,19909,16519.88,2026-03-20,3389.119999999999,17.023054899794058
